X Field (G)	Y Field (G)	Z Field (G)	Field Mag (G)	Phi (Deg)	Theta (Deg)	S21 Abs (dB)	S12 Abs (dB)	S11 Abs (dB)
-36.304122	-7.763896	0.422985	37.127433	-167.928722	89.347228	-26.411190	-26.244761	-18.499531
-37.721905	-7.729578	-0.121822	38.505887	-168.419849	90.181268	-26.380358	-26.220146	-18.499493
-38.255987	-8.349456	-0.325588	39.157885	-167.688132	90.476406	-26.357658	-26.201880	-18.499186

37.092447	12.235216	-0.175444	39.058686	18.255518	90.257363	-26.300201	-26.308208	-18.499420
36.217325	11.714004	0.483042	38.067649	17.923099	89.272952	-26.314806	-26.328297	-18.499233
36.152978	11.722583	-0.188314	38.006476	17.965258	90.283889	-26.315231	-26.328684	-18.499350
35.097684	11.233544	0.071220	36.851662	17.748056	89.889270	-26.326532	-26.344721	-18.499645
34.898208	11.076966	-0.093938	36.614108	17.609849	90.147000	-26.333349	-26.354254	-18.499660
33.261644	10.926823	-0.256951	35.011404	18.185931	90.420501	-26.364670	-26.396200	-18.499443
32.832662	10.675869	0.234233	34.525538	18.012453	89.611283	-26.378725	-26.415003	-18.499537
32.234233	10.626536	0.163451	33.941063	18.245639	89.724078	-26.392942	-26.433172	-18.499460
31.294764	10.321959	-0.134691	32.953349	18.254117	90.234188	-26.407196	-26.454611	-18.499142
30.468975	9.759993	-0.207618	31.994672	17.761594	90.371803	-26.431355	-26.488398	-18.499249
29.038322	9.466141	0.150581	30.542669	18.055341	89.717519	-26.465191	-26.536913	-18.498854
28.158910	9.198028	-0.218343	29.623903	18.089479	90.422302	-26.483099	-26.563789	-18.499214
27.236600	8.771191	0.043336	28.614124	17.850476	89.913226	-26.532442	-26.637836	-18.499804
26.258523	8.545976	0.118408	27.614448	18.027754	89.754321	-26.557741	-26.679543	-18.499599
25.406995	8.106270	0.030467	26.668857	17.695628	89.934545	-26.577173	-26.711010	-18.500177
24.225151	7.874620	0.174175	25.473475	18.007255	89.608236	-26.633575	-26.796387	-18.500340
23.412231	7.814563	-0.078924	24.682103	18.458041	90.183210	-26.657854	-26.836794	-18.501141
22.813802	7.357698	0.013307	23.970930	17.875072	89.968193	-26.695505	-26.914711	-18.501291
21.657697	7.065990	-0.256951	22.782671	18.069314	90.646216	-26.739054	-26.989044	-18.501507
21.005646	6.978049	-0.143271	22.134833	18.376422	90.370858	-26.768957	-27.042992	-18.501621
20.192726	6.536198	-0.021011	21.224243	17.936287	90.056721	-26.831186	-27.153067	-18.502283
18.768508	5.864842	0.045481	19.663553	17.353145	89.867477	-26.923914	-27.343218	-18.502666
17.822604	5.781191	0.064785	18.736904	17.971720	89.801893	-26.970753	-27.448515	-18.502867
16.979655	5.204211	-0.055330	17.759380	17.040138	90.178506	-26.999676	-27.527788	-18.502892
